EventId,EventTemplate,Occurrences
bdd3ada5,*job*/a/c.a.s.BinaryTransparencyService$UpdateMeasurementsJobService#168242978,4
5f8b260f,*job*/a/c.a.s.p.BackgroundDexOptJobService#801,4
ca42e075,*job*/c.a.v/c.g.a.f.s.p.m.PhoneskyJobServiceMain#9087,4
0a4dc37f,*job*/a/c.a.s.b.BlobStoreIdleJobService#191934935,4
48b3527b,*job*/c.g.a.c/.CheckinService#9,4
67fa93b3,*job*/c.g.a.a.m/a.w.i.b.s.SystemJobService#1011,4
f0fa4c66,*job*/a/c.a.s.c.InactiveAssociationsRemovalService#92464686,4
6032a7af,*job*/c.g.a.i.l/c.g.a.l.i.t.JobSchedulerImpl$TaskRunnerJobService#1534697245,4
105a6dfc,*dexopt*,454
ce96b771,*job*/c.g.a.i.l/c.g.a.l.i.t.JobSchedulerImpl$TaskRunnerJobService#-1481937176,4
ae112da9,*job*/a/c.a.s.p.d.DataMaintenanceService#204561367,4
ec8ce5f4,*job*/a/c.a.s.p.BackgroundDexOptJobService#800,4
8e2295c7,*job*/c.a.p.d/.DownloadIdleService#-100,4
2cbb087f,*job*/c.g.a.s.i/.m.s.i.b.IndexingJobService#14,8
28218da4,*job*/c.a.v/c.g.a.f.s.p.m.PhoneskyJobServiceMain#9143,4
dcb2a1d4,*job*/c.g.a.a.n.f/.m.MediaStoreContentChangeListenerService#7100,4
f8809842,*job*/c.g.a.a.p/c.g.a.l.s.m.MediaMonitorJobSchedulerService#1034,4
84bfe00d,dream:doze,2
c32e018a,dream:doze (doze),1
e0393bb0,dream:dream,1
a2c21076,*job*/a/c.a.s.ZramWriteback#811,2
b8ede186,*job*/c.g.a.p/.InstalledAppJobService#4096,4
91ea3481,com.android.server.stats.StatsManagerService,1
0678e000,deviceidle_maint,2
0205b19e,deviceidle_going_idle,3
15a8d590,AnyMotionDetector,1
e24841af,*location*:GnssLocationProvider,36
e06004e6,GCoreFlp,36
82efe014,shannonims:unsolicited,1
5f42c2b8,AudioMix,145
b1640a52,*job*/c.g.a.g/c.g.a.a.g.t.BackgroundTasksJobService#-87,2
9c954984,*gms_scheduler*/c.g.a.g/.c.GmsInternalBoundBrokerService,1
5c2f5e56,*gms_scheduler*/c.g.a.g/c.g.a.c.s.ContextManagerLogsUploadBoundService,1
f41328a3,*job*/c.a.v/c.g.a.f.s.p.m.PhoneskyJobServiceMain#9074,2
c4f826e9,*job*/c.a.v/c.g.a.f.s.p.m.PhoneskyJobServiceMain#9145,2
8398adf0,*vibrator*,26
10feb835,*launch*,21
521d7462,"WindowManager/displayId:0 (screen-bright,on-after-release)",4
05d73f8a,WindowManager/displayId:0,4
5e4285a4,RingtonePlayer,2
82d17e4a,*job*/c.g.a.p.m.m/c.a.p.m.MediaService#-300,2
