LineId,Date,Time,Pid,Id,Content,EventId,EventTemplate,ParameterList
2545,05-12,03:19:13.947,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2546,05-12,03:19:13.947,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2547,05-12,03:19:13.947,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2548,05-12,03:19:13.953,1000,ACQ,*launch* (partial),6b25d8e6,*launch* (partial),[]
2549,05-12,03:19:14.139,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2550,05-12,03:19:14.139,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2551,05-12,03:19:14.139,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2552,05-12,03:19:14.145,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2553,05-12,03:19:14.146,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2554,05-12,03:19:14.196,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2555,05-12,03:19:14.196,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2556,05-12,03:19:14.196,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2557,05-12,03:19:14.249,1000,REL,*launch*,10feb835,*launch*,[]
2558,05-12,03:19:14.968,1000,ACQ,*alarm* (partial),fc8c8dd6,*alarm* (partial),[]
2559,05-12,03:19:14.968,1000,REL,*alarm*,14e9711f,*alarm*,[]
2560,05-12,03:19:15.194,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2561,05-12,03:19:15.194,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2562,05-12,03:19:15.194,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2563,05-12,03:19:15.249,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2564,05-12,03:19:15.249,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2565,05-12,03:19:15.250,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2566,05-12,03:19:16.177,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2567,05-12,03:19:16.177,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2568,05-12,03:19:16.179,1000,ACQ,*launch* (partial),6b25d8e6,*launch* (partial),[]
2569,05-12,03:19:16.240,1000,REL,*launch*,10feb835,*launch*,[]
2570,05-12,03:19:16.327,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2571,05-12,03:19:16.327,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2572,05-12,03:19:19.316,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2573,05-12,03:19:19.877,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2574,05-12,03:19:19.877,1000,ACQ,*launch* (partial),6b25d8e6,*launch* (partial),[]
2575,05-12,03:19:19.879,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2576,05-12,03:19:19.879,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2577,05-12,03:19:19.971,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2578,05-12,03:19:19.971,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2579,05-12,03:19:19.971,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2580,05-12,03:19:20.027,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2581,05-12,03:19:20.028,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2582,05-12,03:19:20.028,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2583,05-12,03:19:20.059,1000,REL,*launch*,10feb835,*launch*,[]
2584,05-12,03:19:20.101,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2585,05-12,03:19:20.101,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2586,05-12,03:19:23.096,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2587,05-12,03:19:24.220,10225,ACQ,SysUI:BroadcastSender (partial),7379b89d,SysUI:BroadcastSender (partial),[]
2588,05-12,03:19:24.223,10225,REL,SysUI:BroadcastSender,93c4ca52,SysUI:BroadcastSender,[]
2589,05-12,03:19:24.807,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2590,05-12,03:19:24.808,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2591,05-12,03:19:24.808,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2592,05-12,03:19:24.809,1000,ACQ,*launch* (partial),6b25d8e6,*launch* (partial),[]
2593,05-12,03:19:24.836,1000,REL,*launch*,10feb835,*launch*,[]
2594,05-12,03:19:24.988,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2595,05-12,03:19:24.989,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2596,05-12,03:19:26.177,1000,ACQ,*launch* (partial),6b25d8e6,*launch* (partial),[]
2597,05-12,03:19:26.179,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2598,05-12,03:19:26.179,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2599,05-12,03:19:26.316,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2600,05-12,03:19:26.316,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2601,05-12,03:19:26.316,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2602,05-12,03:19:26.329,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2603,05-12,03:19:26.329,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2604,05-12,03:19:26.370,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2605,05-12,03:19:26.370,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2606,05-12,03:19:26.371,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2607,05-12,03:19:26.426,1000,REL,*launch*,10feb835,*launch*,[]
2608,05-12,03:19:29.324,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2609,05-12,03:19:29.905,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2610,05-12,03:19:29.906,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2611,05-12,03:19:29.906,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2612,05-12,03:19:30.136,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2613,05-12,03:19:30.137,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2614,05-12,03:19:32.752,1000,ACQ,*launch* (partial),6b25d8e6,*launch* (partial),[]
2615,05-12,03:19:32.762,1000,REL,*launch*,10feb835,*launch*,[]
2616,05-12,03:19:33.129,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2617,05-12,03:19:35.463,1000,ACQ,*vibrator* (partial),fa1f567a,*vibrator* (partial),[]
2618,05-12,03:19:35.499,1000,REL,*vibrator*,8398adf0,*vibrator*,[]
2619,05-12,03:19:38.970,10137,ACQ,Wakeful StateMachine: GeofencerStateMachine (partial),237d19a3,Wakeful StateMachine: GeofencerStateMachine (partial),[]
2620,05-12,03:19:38.975,10137,REL,Wakeful StateMachine: GeofencerStateMachine,f4f09ce2,Wakeful StateMachine: GeofencerStateMachine,[]
2621,05-12,03:19:38.976,10137,ACQ,GCoreFlp (partial),5662b492,GCoreFlp (partial),[]
