LineId,Date,Time,Pid,Id,Content,EventId,EventTemplate,ParameterList
3453,01-14,18:57:18.940,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
3454,01-14,18:57:18.940,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
3455,01-14,18:57:18.940,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
3456,01-14,18:57:18.941,1001,REL,*telephony-sem-radio*,7082e793,*telephony-sem-radio*,[]
3457,01-14,18:57:18.942,1001,ACQ,*telephony-sem-radio* (partial),9cef9b02,*telephony-sem-radio* (partial),[]
3458,01-14,18:57:18.942,1001,REL,*telephony-sem-radio*,7082e793,*telephony-sem-radio*,[]
3459,01-14,18:57:18.947,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
3460,01-14,18:57:18.947,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
3461,01-14,18:57:18.947,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
3462,01-14,18:57:18.950,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
3463,01-14,18:57:18.950,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
3464,01-14,18:57:18.950,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
3465,01-14,18:57:19.099,1000,ACQ,startDream (partial),06913c73,startDream (partial),[]
3466,01-14,18:57:19.129,10038,ACQ,Doze (partial),db381234,Doze (partial),[]
3467,01-14,18:57:19.139,10038,ACQ,Scrims (partial),d1f7f52f,Scrims (partial),[]
3468,01-14,18:57:19.151,1000,ACQ,DreamManagerService (doze),929e4cf5,DreamManagerService (doze),[]
3469,01-14,18:57:19.169,10038,ACQ,AOD_EnsureWorkingTime (partial),33039c9b,AOD_EnsureWorkingTime (partial),[]
3470,01-14,18:57:19.172,1000,REL,startDream,bc76bc23,startDream,[]
3471,01-14,18:57:19.187,1000,ACQ,motion_service (partial),e31de89e,motion_service (partial),[]
3472,01-14,18:57:19.191,1000,REL,motion_service,c3bcc738,motion_service,[]
3473,01-14,18:57:19.241,10038,REL,Scrims,8cce89f2,Scrims,[]
3474,01-14,18:57:19.273,10038,REL,Doze,04cd0834,Doze,[]
3475,01-14,18:57:19.342,1001,ACQ,*telephony-sem-radio* (partial),9cef9b02,*telephony-sem-radio* (partial),[]
3476,01-14,18:57:19.343,1001,REL,*telephony-sem-radio*,7082e793,*telephony-sem-radio*,[]
3477,01-14,18:57:19.343,1001,ACQ,*telephony-sem-radio* (partial),9cef9b02,*telephony-sem-radio* (partial),[]
3478,01-14,18:57:19.348,1001,REL,*telephony-sem-radio*,7082e793,*telephony-sem-radio*,[]
3479,01-14,18:57:19.349,1001,ACQ,*telephony-sem-radio* (partial),9cef9b02,*telephony-sem-radio* (partial),[]
3480,01-14,18:57:19.349,1001,REL,*telephony-sem-radio*,7082e793,*telephony-sem-radio*,[]
3481,01-14,18:57:19.370,10038,REL,AOD_EnsureWorkingTime,2948d09b,AOD_EnsureWorkingTime,[]
3482,01-14,18:57:19.399,1000,ACQ,WifiSuspend (partial),425a2209,WifiSuspend (partial),[]
3483,01-14,18:57:19.435,1000,REL,WifiSuspend,80d9cabe,WifiSuspend,[]
3484,01-14,18:57:19.440,10234,ACQ,NlpWakeLock (partial),bd8ac4d0,NlpWakeLock (partial),[]
3485,01-14,18:57:19.441,10234,REL,NlpWakeLock,03b55498,NlpWakeLock,[]
3486,01-14,18:57:19.447,10234,ACQ,Wakeful StateMachine: GeofencerStateMachine (partial),237d19a3,Wakeful StateMachine: GeofencerStateMachine (partial),[]
3487,01-14,18:57:19.448,10234,REL,Wakeful StateMachine: GeofencerStateMachine,f4f09ce2,Wakeful StateMachine: GeofencerStateMachine,[]
3488,01-14,18:57:48.316,10234,ACQ,GCM_READ (partial),cde3fec8,GCM_READ (partial),[]
3489,01-14,18:57:48.319,10234,ACQ,GCM_WORK (partial),1160256d,GCM_WORK (partial),[]
3490,01-14,18:57:48.320,10234,REL,GCM_READ,3e9981ae,GCM_READ,[]
3491,01-14,18:57:48.337,10234,ACQ,GOOGLE_C2DM (partial),c915d9d8,GOOGLE_C2DM (partial),[]
3492,01-14,18:57:48.346,10234,REL,GCM_WORK,b44ae528,GCM_WORK,[]
3493,01-14,18:57:48.349,10234,ACQ,GCM_WORK (partial),1160256d,GCM_WORK (partial),[]
3494,01-14,18:57:48.358,10234,REL,GCM_WORK,b44ae528,GCM_WORK,[]
3495,01-14,18:57:48.389,10504,ACQ,wake:com.google.firebase.iid.WakeLockHolder (partial),5f552dae,wake:com.google.firebase.iid.WakeLockHolder (partial),[]
3496,01-14,18:57:48.391,10504,REL,wake:com.google.firebase.iid.WakeLockHolder,4f0a434a,wake:com.google.firebase.iid.WakeLockHolder,[]
3497,01-14,18:57:48.404,10234,REL,GOOGLE_C2DM,4fd4578c,GOOGLE_C2DM,[]
3498,01-14,18:57:48.523,1000,ACQ,prevent full-screen wakelock in EnqueueNotificationRunnable (partial),73f00906,prevent full-screen wakelock in EnqueueNotificationRunnable (partial),[]
3499,01-14,18:57:48.633,1000,REL,prevent full-screen wakelock in EnqueueNotificationRunnable,64633af2,prevent full-screen wakelock in EnqueueNotificationRunnable,[]
3500,01-14,18:57:48.640,1000,ACQ,prevent full-screen wakelock in EnqueueNotificationRunnable (partial),73f00906,prevent full-screen wakelock in EnqueueNotificationRunnable (partial),[]
3501,01-14,18:57:48.696,1000,REL,prevent full-screen wakelock in EnqueueNotificationRunnable,64633af2,prevent full-screen wakelock in EnqueueNotificationRunnable,[]
3502,01-14,18:57:48.701,1000,ACQ,prevent full-screen wakelock in EnqueueNotificationRunnable (partial),73f00906,prevent full-screen wakelock in EnqueueNotificationRunnable (partial),[]
3503,01-14,18:57:49.055,1000,REL,prevent full-screen wakelock in EnqueueNotificationRunnable,64633af2,prevent full-screen wakelock in EnqueueNotificationRunnable,[]
3504,01-14,18:58:02.637,10234,ACQ,GCM_READ (partial),cde3fec8,GCM_READ (partial),[]
3505,01-14,18:58:02.641,10234,ACQ,GCM_WORK (partial),1160256d,GCM_WORK (partial),[]
3506,01-14,18:58:02.642,10234,REL,GCM_READ,3e9981ae,GCM_READ,[]
3507,01-14,18:58:02.654,10234,ACQ,GOOGLE_C2DM (partial),c915d9d8,GOOGLE_C2DM (partial),[]
3508,01-14,18:58:02.660,10234,REL,GCM_WORK,b44ae528,GCM_WORK,[]
3509,01-14,18:58:02.698,10504,ACQ,wake:com.google.firebase.iid.WakeLockHolder (partial),5f552dae,wake:com.google.firebase.iid.WakeLockHolder (partial),[]
3510,01-14,18:58:02.700,10504,REL,wake:com.google.firebase.iid.WakeLockHolder,4f0a434a,wake:com.google.firebase.iid.WakeLockHolder,[]
3511,01-14,18:58:02.712,10234,REL,GOOGLE_C2DM,4fd4578c,GOOGLE_C2DM,[]
3512,01-14,18:58:02.731,1000,ACQ,prevent full-screen wakelock in EnqueueNotificationRunnable (partial),73f00906,prevent full-screen wakelock in EnqueueNotificationRunnable (partial),[]
3513,01-14,18:58:03.082,1000,REL,prevent full-screen wakelock in EnqueueNotificationRunnable,64633af2,prevent full-screen wakelock in EnqueueNotificationRunnable,[]
3514,01-14,18:58:09.810,10234,ACQ,GCM_READ (partial),cde3fec8,GCM_READ (partial),[]
3515,01-14,18:58:09.812,10234,ACQ,GCM_WORK (partial),1160256d,GCM_WORK (partial),[]
3516,01-14,18:58:09.813,10234,REL,GCM_READ,3e9981ae,GCM_READ,[]
3517,01-14,18:58:09.820,10234,ACQ,GOOGLE_C2DM (partial),c915d9d8,GOOGLE_C2DM (partial),[]
3518,01-14,18:58:09.828,10234,REL,GCM_WORK,b44ae528,GCM_WORK,[]
3519,01-14,18:58:09.831,10234,ACQ,GCM_WORK (partial),1160256d,GCM_WORK (partial),[]
3520,01-14,18:58:09.837,10234,REL,GCM_WORK,b44ae528,GCM_WORK,[]
3521,01-14,18:58:09.853,10504,ACQ,wake:com.google.firebase.iid.WakeLockHolder (partial),5f552dae,wake:com.google.firebase.iid.WakeLockHolder (partial),[]
3522,01-14,18:58:09.854,10504,REL,wake:com.google.firebase.iid.WakeLockHolder,4f0a434a,wake:com.google.firebase.iid.WakeLockHolder,[]
3523,01-14,18:58:09.870,10234,REL,GOOGLE_C2DM,4fd4578c,GOOGLE_C2DM,[]
3524,01-14,18:59:01.735,10234,ACQ,GCM_READ (partial),cde3fec8,GCM_READ (partial),[]
3525,01-14,18:59:01.740,10234,ACQ,GCM_WORK (partial),1160256d,GCM_WORK (partial),[]
3526,01-14,18:59:01.742,10234,REL,GCM_READ,3e9981ae,GCM_READ,[]
3527,01-14,18:59:01.751,10234,ACQ,GOOGLE_C2DM (partial),c915d9d8,GOOGLE_C2DM (partial),[]
3528,01-14,18:59:01.759,10234,REL,GCM_WORK,b44ae528,GCM_WORK,[]
3529,01-14,18:59:01.762,10234,ACQ,*gms_scheduler*:internal (partial),ed1da152,*gms_scheduler*:internal (partial),[]
3530,01-14,18:59:01.766,10234,REL,*gms_scheduler*:internal,42710fe9,*gms_scheduler*:internal,[]
3531,01-14,18:59:01.790,10504,ACQ,wake:com.google.firebase.iid.WakeLockHolder (partial),5f552dae,wake:com.google.firebase.iid.WakeLockHolder (partial),[]
3532,01-14,18:59:01.791,10504,REL,wake:com.google.firebase.iid.WakeLockHolder,4f0a434a,wake:com.google.firebase.iid.WakeLockHolder,[]
3533,01-14,18:59:01.801,10234,REL,GOOGLE_C2DM,4fd4578c,GOOGLE_C2DM,[]
3534,01-14,18:59:48.650,1000,ACQ,*alarm* (partial),fc8c8dd6,*alarm* (partial),[]
3535,01-14,18:59:48.666,1000,REL,*alarm*,14e9711f,*alarm*,[]
3536,01-14,18:59:48.672,1001,ACQ,*telephony-sem-radio* (partial),9cef9b02,*telephony-sem-radio* (partial),[]
3537,01-14,18:59:48.673,1001,REL,*telephony-sem-radio*,7082e793,*telephony-sem-radio*,[]
3538,01-14,18:59:48.673,1001,ACQ,*telephony-sem-radio* (partial),9cef9b02,*telephony-sem-radio* (partial),[]
3539,01-14,18:59:48.675,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
3540,01-14,18:59:48.675,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
3541,01-14,18:59:48.675,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
3542,01-14,18:59:48.680,1001,REL,*telephony-sem-radio*,7082e793,*telephony-sem-radio*,[]
3543,01-14,18:59:48.680,1001,ACQ,*telephony-sem-radio* (partial),9cef9b02,*telephony-sem-radio* (partial),[]
3544,01-14,18:59:48.681,1001,REL,*telephony-sem-radio*,7082e793,*telephony-sem-radio*,[]
3545,01-14,18:59:48.688,1001,ACQ,RILJ_ACK_WL (partial),7f37ac5e,RILJ_ACK_WL (partial),[]
3546,01-14,18:59:48.695,1000,ACQ,motion_service (partial),e31de89e,motion_service (partial),[]
3547,01-14,18:59:48.696,1000,REL,motion_service,c3bcc738,motion_service,[]
3548,01-14,18:59:48.707,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
3549,01-14,18:59:48.707,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
3550,01-14,18:59:48.709,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
