EventId,EventTemplate,Occurrences
06060967,<*> <*> <*> <*> <*> -<*> <*> <*> <*> <*> <*> <*> <*> <*>,3
7a272678,<*> <*> <*> to <*> <*> <*> <*>,4
2382f8e5,<*> <*> from <*>,32
62c4ff09,Compat change id reported: <*>; UID <*>; state: <*>,1159
e3f1040c,<*> <*> <*> for <*>,49
89727ae0,Force stopping <*> <*> <*> <*>,8
aa418212,<*> <*> <*> <*> <*> <*> <*> <*> to <*> <*> <*> <*> <*> <*>,4
b8640e89,"<*> <*> <*> <*>, <*> <*> <*> <*> <*> <*> <*>",11
bbc038b8,Permission <*> <*> <*> <*> <*>,5
05152041,<*> <*> of <*>,12
48d2254b,Slow <*> <*> <*> <*> <*> <*> <*> <*>,2
43dfbf1b,Force stopping <*> <*> <*> <*> <*>,12
686e57f8,<*> <*> not <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,179
8def1cd4,<*> <*> <*> is <*> <*> <*>,16
18d35920,<*> <*> <*> mode <*> <*> <*>,10
4eb9c9c9,Slow <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,14
565d13af,Slow <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,12
0d8c1404,<*> <*> <*> for service <*>,53
c13f61f5,Slow <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,7
85755f9d,<*> <*> No action <*>,6
92dffda4,<*> = <*>,62
30bc4ceb,<*> <*> <*> <*> for <*> <*> <*> <*> <*>,30
84d99a6c,<*> <*> <*> for <*> <*> <*>,54
7436c43d,<*> to <*> <*> <*> <*> <*>,61
4f921eee,<*> to <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,18
3cf49fdb,<*> <*> <*> for <*> <*>,199
f6cfc4ef,"<*> <*> <*> <*>, <*> <*> <*> <*>",128
22a26386,appDiedLocked: app=ProcessRecord{<*> <*> thread=<*>@<*> fromBinderDied=true isKilledByAm=true reason=null,155
a154db4c,<*> <*> <*> <*> <*> null <*> <*> <*> <*>,51
68b5574a,<*> <*> <*> from uid <*>,3
e908a6d8,<*> <*> <*> current <*> <*>,89
2ba8ebc6,<*> <*> <*> to <*> <*> <*> <*> <*> <*> <*> <*>,37
309fee95,<*> <*> is <*> <*> <*> <*> <*> <*>,7
d5af4fab,The Process <*> Already Exists in BG. So sending its PID: <*>,14
9318410a,<*> to <*> <*> <*> <*> <*> <*>,42
04c959c4,SURFACE <*> <*> on display:<*>,277
9a34b79e,SURFACE <*> <*> <*> <*> <*> <*>,18
0c79082a,Changing focus of displayId=<*> to Window{<*> u0 <*> from null,24
ee480c69,MotoDisplayed <*>,31
655de89f,<*> <*> <*> <*> <*> u0 <*>,1
b10116ff,Background started <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,5
6f807ebe,<*> to <*> <*> for <*> <*> <*>,178
266a7b0f,<*> <*> <*> <*> <*> <*> from <*> <*>,13
dc8f6c19,<*> <*> = <*> <*> <*> <*> <*> <*> <*>,43
c360d802,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> is <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
