EventId,EventTemplate,Occurrences
d376a998,"<*> <*> <*> <*> <*> <*> <*>, <*> <*> <*> <*> <*> <*> <*>",6
3951cff6,<*> <*> for <*>,3
0aea1a38,<*> screen off,8
5889711a,<*> screen off <*> <*> <*>,8
a9df1950,Display0 turned off...,8
5c0da4c3,Tracking association SourceState{<*> <*> BTopFgs #<*>} whose proc state <*> is better than process ProcessState{<*> <*><*> pkg=<*>} proc state <*> (<*> skipped),160
bbd037ec,Brightness [<*>.<*>] reason changing to: <*> previous reason: <*>,27
3450e2f5,Display device <*> <*> <*> <*> <*>,16
b3b64667,<*> dreamland.,6
18bd6a6f,Dozing...,3
e8cbb5d1,Starting <*> <*> <*> <*> <*>,3
1b08e58f,SURFACE SHOW <*> on display:<*>,15
d8c2907a,<*> <*> of <*> to <*> <*> <*> <*> <*> <*> <*>,23
93e4bacf,"<*> <*> <*> <*> <*> <*> <*> <*> <*>, <*> <*> <*>",8
1aed0b31,<*> component <*>/.notification.DisplayNotifListenerService,6
