EventId,EventTemplate,Occurrences
81f93427,AudioMix,79
1bbb8efa,<*> (partial),2069
b1b4e3b1,*vibrator*,121
0d430a00,*job*/c.t.a/a.w.i.b.s.SystemJobService,7
4677481b,*launch*,15
81ee9922,Icing,11
bcf58799,*job*/c.w/a.w.i.b.s.SystemJobService,7
96c9f283,NetworkStats,316
0f8562f6,*alarm*,37
3b257378,*telephony-radio*,765
31a98249,IWLAN_PROXY_WL,125
5f9b6d18,RILJ_ACK_WL,84
bbc2e9c9,*gms_scheduler*:internal,44
60c6ecd1,*gms_scheduler*/c.g.a.g/.a.a.b.a.GcmTaskService,1
350d81f0,*gms_scheduler*/c.g.a.g/.c.u.QosUploaderService,5
5ecccea2,PhoneWindowManager.mPowerKeyWakeLock,22
c805c3a9,DreamManagerService <*>,14
0e3b04f3,startDream,14
05b25f3e,show keyguard <*>,9
84e635a0,ActivityManager-Sleep,9
abdb2c2a,show keyguard,9
74b61f0d,Doze,38
1b29865d,Wakeful StateMachine: GeofencerStateMachine <*>,28
09c1a9dc,Wakeful StateMachine: GeofencerStateMachine,28
2c3c1795,NlpWakeLock,66
768171ff,WifiSuspend,13
6dbc52c6,AnalyticsIntentService,27
4440c49a,*job*/c.m.m/.a.AnalyticsIntentService,19
2ffbf997,MotoDisplayWakeLock,42
f8ce84ad,Scrims,23
eeb0766d,*job*/c.m.b.m/.n.NRCheckinJobService,7
eae14f24,*job*/c.s.b.a/a.w.i.b.s.SystemJobService,3
55f5f480,*job*/c.g.a.g/.j.ProviderCreatedJob$ProviderCreatedJobService,2
109c3d9e,*job*/c.g.a.g/c.a.m.w.NotifyDatasetChangedJob$NotifyDatasetChangedJobService,2
b6b33db4,*job*/c.g.a.g/a.w.i.b.s.SystemJobService,6
0010df02,deviceidle_going_idle,8
cce370e6,*location*,16
003d5268,CMWakeLock,4
3e6abe39,*job*/c.g.a.a.p/.d.i.DatabaseProcessorJobService,1
6a267cf8,*job*/c.g.a.s/.d.DeferredSetupScheduler,6
4a778460,*job*/c.t.a/c.g.a.d.r.s.j.JobInfoSchedulerService,1
e4a0a6e1,deviceidle_maint,4
969d7db0,WorkManager:TikTokListenableWorker startWork -> <*> startWork() -> <*> startWork() -> NoAccountWorkerFactory startWork() <*>,12
91a617f1,WorkManager:TikTokListenableWorker startWork -> <*> startWork() -> <*> startWork() -> NoAccountWorkerFactory startWork(),12
509a9688,DreamManagerService,14
e2b93ec1,GCM_WORK,26
fd166b35,bugle_datamodel_executor_wakelock,10
d562f5fc,<*> <*> <*> <*> <*> <*> <*> <*> -> <*> <*> <*> <*> <*> <*> <*> <*>,2
5057b312,<*> <*> <*> <*> <*> <*> <*> <*> -> <*> <*> <*> <*> <*> <*> <*>,2
cd23728f,*job*/c.g.a.a.m/a.w.i.b.s.SystemJobService,4
7a68cf0d,*job*/c.g.a.a.c/a.w.i.b.s.SystemJobService,4
21ac5823,*job*/c.g.a.a.t/c.g.a.l.s.a.l.InferAppBucketsJob,2
5f9f1872,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,15
27c0f3cf,*location*:GnssLocationProvider,2
83438790,GCoreFlp,4
0da3738d,LockoutResetMonitor:SendLockoutReset,9
ca33f529,wake-and-unlock:wakelock,7
28f8b6e8,lockoutResetCallback,9
e25cbc30,*gms_scheduler*/c.g.a.g/.m.t.ScheduledTaskService,2
79e76a0a,WindowManager <*>,10
e18ada58,NotifyRegistrantLock,2
7a35664d,WindowManager,10
d283d202,*job*/c.g.a.w/o.c.a.n.AwComponentUpdateService,2
07f9391b,IWLAN_PROXY_RESP_WL,4
cbde2273,*job*/c.f.k/c.f.p.f.c.s.FBPapayaJobService,3
63655183,*gms_scheduler*/c.g.a.g/.t.s.SpamListSyncTaskService,2
6b4b0c17,SCREEN_FROZEN,2
4bc83936,GCM_HB_ALARM,1
54373163,GCM_READ,2
aa27c9fb,*job*/c.w/.p.RegistrationIntentService,2
0f8983ca,com.whatsapp:sendinactive,2
fb934ef1,GOOGLE_C2DM,1
b088eee8,wake:com.google.firebase.iid.WakeLockHolder,1
