EventId,EventTemplate,Occurrences
2ffbf997,MotoDisplayWakeLock,94
1bbb8efa,<*> (partial),1972
86891434,*job*/c.a.v/c.g.a.f.s.p.m.PhoneskyJobServiceMain,3
0010df02,deviceidle_going_idle,2
3b257378,*telephony-radio*,474
96c9f283,NetworkStats,35
74b61f0d,Doze,19
f8ce84ad,Scrims,13
54373163,GCM_READ,11
e2b93ec1,GCM_WORK,25
fb934ef1,GOOGLE_C2DM,8
31a98249,IWLAN_PROXY_WL,43
5f9b6d18,RILJ_ACK_WL,31
d10889ff,com.android.server.stats.StatsCompanionService$PullingAlarmListener,6
0f8562f6,*alarm*,30
cce370e6,*location*,24
1b29865d,Wakeful StateMachine: GeofencerStateMachine <*>,43
09c1a9dc,Wakeful StateMachine: GeofencerStateMachine,43
509a9688,DreamManagerService,6
e3c5f70c,SyncLoopWakeLock,128
5ecccea2,PhoneWindowManager.mPowerKeyWakeLock,7
5f9f1872,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,45
003d5268,CMWakeLock,107
2c3c1795,NlpWakeLock,190
83438790,GCoreFlp,69
6cbc7547,UlrDispSvcFastWL,70
8d50e2d1,FusedLocation,7
bbc2e9c9,*gms_scheduler*:internal,127
f19e2ca1,GCM_CONN_ALARM,3
81ee9922,Icing,54
19d707ea,IntentOp:.u.e.InstallationIntentOperation,5
10256db2,IntentOp:.c.c.InitConfigOperation,5
7f4f61ef,IntentOp:c.g.a.g/.c.PersistentIntentOperationService,4
d62a4023,IntentOp:.c.a.AppDoctorConfigChangedIntentOperation,2
eb6646e3,IntentOp:.s.c.ControlledEventsPhenotypeUpdateOperation,2
c805c3a9,DreamManagerService <*>,4
0e3b04f3,startDream,4
768171ff,WifiSuspend,4
fd166b35,bugle_datamodel_executor_wakelock,12
6dbc52c6,AnalyticsIntentService,9
81f93427,AudioMix,15
cd23728f,*job*/c.g.a.a.m/a.w.i.b.s.SystemJobService,4
e5909a40,*job*/c.g.a.e.s/a.w.i.b.s.SystemJobService,2
8c2a01e6,IntentOp:.f.s.l.BluetoothStateChangeListenerIntentOperation,10
