EventId,EventTemplate,Occurrences
E0,"('Fatal', 'signal', '<*>', '(SIGABRT),', 'code', '<*>', '(SI_QUEUE)', 'in', 'tid', '<*>', '(init),', 'pid', '<*>', '(init)')",3
E1,"('Fps', 'state', 'updated', 'from', '<*>', 'to', '<*>', 'client', '<*>', 'FingerprintAuthenticationClient,', '<*>', '<*>', '<*>', '<*>')",3
E2,"('Client', 'finished,', 'fps', 'state', 'updated', 'to', '<*>', 'client', '<*>', 'FingerprintAuthenticationClient,', '<*>', '<*>', '<*>', '<*>')",3
E3,"('The', 'activity', 'is', 'N', 'or', 'above', 'and', 'claims', 'to', 'support', 'resizeable-activity.', 'Crop-rotate-scale', 'is', 'disabled.')",5
E4,"('Killing', '<*>', '(adj', '<*>', 'depends', 'on', 'provider', '<*>', 'in', 'dying', 'proc', '<*>', '(adj', '<*>')",1
E5,"('<*>', '<*>', '<*>', '<*>', 'depends', 'on', 'provider', '<*>', 'in', 'dying', 'proc', '<*>', '(adj', '<*>')",1
E6,"('mn78_get_config::SensorType', '=', '<*>', 'sample', 'rate', '=', '<*>', 'report', 'rate', '=', '<*>', '*num_clients', '=', '<*>')",122
E7,"('DEBUG:', '<*>', ':', 'Sending', 'Alert', ':', 'type', ':', 'WARNING', 'description', ':', '<*>', 'exception', ':')",1
E8,"('The', 'weather', 'info', 'has', 'not', 'change,', 'does', 'not', 'need', 'to', 'be', 'updated.', '<*>', '<*>')",2
E9,"(""BluetoothAdapter's"", 'name', 'was', 'not', 'set', 'by', 'Nearby', 'Connections,', 'ignoring', 'call', 'to', 'restore', 'device', 'name')",1
E10,"('disable<e', 'i', 'a', 's', 'b', 'h', 'R', 'c', 's', '>', 'disable2<q', 'i', 'n', '>')",8
E11,"('disable<e', 'i', 'a', 's', 'b', 'h', 'r', 'c', 's', '>', 'disable2<q', 'i', 'n', '>')",9
