EventId,EventTemplate,Occurrences
E108,"('*job*/c.g.a.w/o.c.a.n.AwComponentUpdateService', '(partial)')",2
E109,"('*gms_scheduler*/c.g.a.g/.t.s.SpamListSyncTaskService', '(partial)')",2
E110,"('SCREEN_FROZEN', '(partial)')",2
E111,"('GCM_READ', '(partial)')",2
E112,"('*job*/c.w/.p.RegistrationIntentService', '(partial)')",2
E113,"('com.whatsapp:sendinactive', '(partial)')",2
E114,"('deviceidle_going_idle', '(partial)')",8
E115,"('*location*', '(partial)')",16
E116,"('CMWakeLock', '(partial)')",4
E117,"('deviceidle_maint', '(partial)')",4
E118,"('*job*/c.g.a.a.m/a.w.i.b.s.SystemJobService', '(partial)')",4
E119,"('*job*/c.g.a.a.c/a.w.i.b.s.SystemJobService', '(partial)')",4
E120,"('GCoreFlp', '(partial)')",4
E121,"('IWLAN_PROXY_RESP_WL', '(partial)')",4
E122,"('GCM_WORK', '(partial)')",26
E123,"('bugle_datamodel_executor_wakelock', '(partial)')",10
E124,"('show', 'keyguard', '(partial)')",9
E125,"('Wakeful', 'StateMachine:', 'GeofencerStateMachine')",28
E126,"('WindowManager', '(screen-bright,', 'on-after-release)')",10
E127,"('Wakeful', 'StateMachine:', 'GeofencerStateMachine', '(partial)')",28
E128,"('WorkManager:TikTokListenableWorker', 'startWork', '->', 'com.google.apps.tiktok.sync.impl.workmanager.SyncPeriodicWorker', 'startWork()', '->', 'com.google.apps.tiktok.sync.impl.workmanager.SyncPeriodicWorker', 'startWork()', '->', 'NoAccountWorkerFactory', 'startWork()', '(partial)')",6
E129,"('WorkManager:TikTokListenableWorker', 'startWork', '->', 'com.google.apps.tiktok.sync.impl.workmanager.SyncWorker', 'startWork()', '->', 'com.google.apps.tiktok.sync.impl.workmanager.SyncWorker', 'startWork()', '->', 'NoAccountWorkerFactory', 'startWork()', '(partial)')",6
E130,"('WorkManager:TikTokListenableWorker', 'startWork', '->', 'com.google.apps.tiktok.sync.impl.workmanager.SyncPeriodicWorker', 'startWork()', '->', 'com.google.apps.tiktok.sync.impl.workmanager.SyncPeriodicWorker', 'startWork()', '->', 'NoAccountWorkerFactory', 'startWork()')",6
E131,"('WorkManager:TikTokListenableWorker', 'startWork', '->', 'com.google.apps.tiktok.sync.impl.workmanager.SyncWorker', 'startWork()', '->', 'com.google.apps.tiktok.sync.impl.workmanager.SyncWorker', 'startWork()', '->', 'NoAccountWorkerFactory', 'startWork()')",6
E132,"('StartupHandlerImpl', 'App', 'Interactive', 'Delay', 'Timer', 'Fired', '->', 'StartupHandlerImpl#onAppInteractiveInternal', '->', 'E2eeStartupTask', '->', 'ftd_clean_up_work', '->', 'WorkQueueImpl#queueWorkItemAndReturnFuture', '->', 'ftd_clean_up_work', '(partial)')",2
E133,"('StartupHandlerImpl', 'App', 'Interactive', 'Delay', 'Timer', 'Fired', '->', 'StartupHandlerImpl#onAppInteractiveInternal', '->', 'E2eeStartupTask', '->', 'ftd_clean_up_work', '->', 'WorkQueueImpl#queueWorkItemAndReturnFuture', '->', 'ftd_clean_up_work')",2
