EventId,EventTemplate,Occurrences
E0,"('Fatal', 'signal', '<*>', '(SIGABRT),', 'code', '<*>', '(SI_QUEUE)', 'in', 'tid', '<*>', '(init),', 'pid', '<*>', '(init)')",1
E1,"('(REDACTED)', 'Scheduling', 'Phenotype', 'config', 'package', 'catchup', 'updates', 'to', 'be', '%d', 'seconds', 'from', 'now', '(%d)')",1
E2,"('Enqueueing', 'job:', '<*>', 'work:', '<*>', 'intent=Intent', '{', '<*>', '<*>', '<*>', '<*>', '(has', 'extras)', '}}')",1
E3,"('mn78_get_config::SensorType', '=', '<*>', 'sample', 'rate', '=', '<*>', 'report', 'rate', '=', '<*>', '*num_clients', '=', '<*>')",36
E4,"('mn78_sensor_do_ps_auto_k:h', 'coeff', '=', '<*>', 'l', 'coeff', '=', '<*>', 'cover_raw', '=', '<*>', 'uncover_raw', '=', '<*>')",3
E5,"('disable<e', 'i', 'a', 's', 'b', 'H', 'R', 'c', 's', '>', 'disable2<q', 'i', 'n', '>')",17
E6,"('disable<e', 'i', 'a', 's', 'b', 'h', 'r', 'c', 's', '>', 'disable2<q', 'i', 'n', '>')",12
E7,"(""BluetoothAdapter's"", 'name', 'was', 'not', 'set', 'by', 'Nearby', 'Connections,', 'ignoring', 'call', 'to', 'restore', 'device', 'name')",3
E8,"('<*>', 'Created', 'input', 'block', 'pool', 'with', 'allocatorID', '<*>', '=>', 'poolID', '<*>', '-', 'OK', '<*>')",5
E9,"('<*>', 'afe:', 'Codec', 'selected', 'backend:', '<*>', 'updated', 'bit', 'width:', '<*>', 'and', 'sample', 'rate:', '<*>')",4
E10,"('Sensor', 'Location:', 'left', '=', '<*>', 'top', '=', '<*>', 'right', '=', '<*>', 'bottom', '=', '<*>')",9
E11,"('<*>', '<*>', 'system_server,', '<*>', 'ActivityManager,', 'Sending', 'non-protected', 'broadcast', '<*>', 'from', 'system', '<*>', 'pkg', '<*>')",174
E12,"('<*>', '<*>', 'avc:', 'denied', '{', 'getpgid', '}', 'for', 'comm=""ActivityManager""', 'scontext=u:r:system_server:s0', '<*>', '<*>', 'tclass=process', '<*>')",19
E13,"('avc:', 'denied', '{', 'find', '}', 'for', '<*>', '<*>', 'name=content_capture', '<*>', '<*>', 'tcontext=u:object_r:content_capture_service:s0', 'tclass=service_manager', '<*>')",11
E14,"('<*>', '<*>', 'avc:', 'denied', '{', 'connectto', '}', 'for', '<*>', '<*>', 'scontext=u:r:hal_sensors_default:s0', 'tcontext=u:r:vendor_diag-router:s0', 'tclass=unix_stream_socket', '<*>')",20
E15,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '1qzrk5twqFLvs+QW2n5V1C3waPRJb4XMPVSy65r2LYs=')",24
E16,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",46
E17,"('Histogram', 'SIGNAL_POLL', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",7
E18,"('Histogram', 'IP_CONFIGURATION_SUCCESS', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",1
E19,"('Background', 'execution', 'not', 'allowed:', 'receiving', 'Intent', '{', '<*>', '<*>', '(has', 'extras)', '}', 'to', '<*>')",8
E20,"('Remote', 'playback', 'not', 'allowed:', '<*>', '<*>', 'open', 'failed:', 'ENOENT', '(No', 'such', 'file', 'or', 'directory)')",1
E21,"('Returning', 'an', 'empty', 'list', 'of', 'available', 'cloud', 'providers', 'since', 'the', 'Cloud-Media-in-Photo-Picker', 'feature', 'is', 'disabled.')",1
E22,"('(REDACTED)', 'Task', '%s/%s', 'finished', 'executing.', 'cause:%s', 'result:', '%s', 'elapsed_millis:', '%s', 'uptime_millis:', '%s', 'exec_start_elapsed_seconds:', '%s')",40
