LineId,Date,Time,Pid,Id,Content,EventId,EventTemplate
2387,01-09,20:52:41.511,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
2388,01-09,20:52:41.529,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
2389,01-09,20:52:41.529,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
2390,01-09,20:52:41.530,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
2391,01-09,20:52:41.542,1041,REL,AudioMix,3389dae3,*
2392,01-09,20:52:41.542,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
2393,01-09,20:52:41.553,10163,REL,WorkManager:TikTokListenableWorker startWork -> com.google.apps.tiktok.sync.impl.workmanager.SyncWorker startWork() -> com.google.apps.tiktok.sync.impl.workmanager.SyncWorker startWork() -> NoAccountWorkerFactory startWork(),385a3e89,WorkManager:TikTokListenableWorker startWork -> com.google.apps.tiktok.sync.impl.workmanager.SyncWorker startWork() -> com.google.apps.tiktok.sync.impl.workmanager.SyncWorker startWork() -> NoAccountWorkerFactory startWork()
2394,01-09,20:52:41.700,1000,ACQ,*vibrator* (partial),7a690d26,* (partial)
2395,01-09,20:52:41.735,1000,REL,*vibrator*,3389dae3,*
2396,01-09,20:52:41.751,1041,REL,AudioMix,3389dae3,*
2397,01-09,20:52:41.751,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
2398,01-09,20:52:41.800,1041,REL,AudioMix,3389dae3,*
2399,01-09,20:52:41.813,1000,ACQ,*launch* (partial),7a690d26,* (partial)
2400,01-09,20:52:42.007,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
2401,01-09,20:52:42.080,1000,REL,*launch*,3389dae3,*
2402,01-09,20:52:43.234,1000,ACQ,PhoneWindowManager.mPowerKeyWakeLock (partial),7a690d26,* (partial)
2403,01-09,20:52:43.369,1000,REL,PhoneWindowManager.mPowerKeyWakeLock,3389dae3,*
2404,01-09,20:52:43.851,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
2405,01-09,20:52:43.871,1000,ACQ,ActivityManager-Sleep (partial),7a690d26,* (partial)
2406,01-09,20:52:43.881,1000,REL,NetworkStats,3389dae3,*
2407,01-09,20:52:43.907,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2408,01-09,20:52:43.908,1001,REL,*telephony-radio*,3389dae3,*
2409,01-09,20:52:43.908,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2410,01-09,20:52:43.911,1001,REL,*telephony-radio*,3389dae3,*
2411,01-09,20:52:43.911,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2412,01-09,20:52:43.912,1001,REL,*telephony-radio*,3389dae3,*
2413,01-09,20:52:43.912,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2414,01-09,20:52:43.914,1001,REL,*telephony-radio*,3389dae3,*
2415,01-09,20:52:43.914,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2416,01-09,20:52:43.915,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2417,01-09,20:52:43.916,1001,REL,*telephony-radio*,3389dae3,*
2418,01-09,20:52:43.916,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2419,01-09,20:52:43.942,1000,REL,ActivityManager-Sleep,3389dae3,*
2420,01-09,20:52:43.950,1001,ACQ,RILJ_ACK_WL (partial),7a690d26,* (partial)
2421,01-09,20:52:43.951,1001,REL,*telephony-radio*,3389dae3,*
2422,01-09,20:52:43.951,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2423,01-09,20:52:43.952,1001,REL,*telephony-radio*,3389dae3,*
2424,01-09,20:52:43.958,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2425,01-09,20:52:43.958,1001,REL,*telephony-radio*,3389dae3,*
